"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.535735630E-1,-2.229658142E-2,7.383833826E-2,-1.204931661E-1,1.430658619E-1
3.555732960E-1,-2.840523422E-2,7.139487565E-2,-1.186605766E-1,1.413662550E-1
3.575730290E-1,-2.779436857E-2,6.406449527E-2,-1.168279797E-1,1.361086453E-1
3.595727620E-1,-2.840523422E-2,6.711881608E-2,-1.107193232E-1,1.325539940E-1
3.615724950E-1,-3.084869497E-2,6.345362961E-2,-1.082758680E-1,1.292349360E-1
3.635722950E-1,-3.756821156E-2,6.162103266E-2,-1.039998084E-1,1.265878444E-1
3.655720280E-1,-4.184427112E-2,5.734497309E-2,-9.178250283E-2,1.160319645E-1
3.675717610E-1,-4.184427112E-2,5.734497309E-2,-9.178250283E-2,1.160319645E-1
3.695714940E-1,-4.612032697E-2,5.795583874E-2,-8.506298810E-2,1.127904063E-1
3.715712270E-1,-4.673119262E-2,5.429064855E-2,-7.590000331E-2,1.043651732E-1
3.735709600E-1,-4.612032697E-2,5.367978290E-2,-6.734789163E-2,9.769514910E-2
3.755706930E-1,-5.039638281E-2,5.306891724E-2,-6.490442902E-2,9.781968250E-2
3.775701930E-1,-4.550946131E-2,5.795583874E-2,-5.329799280E-2,9.094320397E-2
3.795699930E-1,-4.917465150E-2,5.795583874E-2,-5.146539584E-2,9.179168025E-2
3.815697260E-1,-4.856378585E-2,6.406449527E-2,-4.230241850E-2,9.084159543E-2
3.835694590E-1,-4.367686436E-2,6.406449527E-2,-3.069597855E-2,8.339167304E-2
3.855682590E-1,-4.428773001E-2,7.200574130E-2,-1.970040426E-2,8.680055148E-2
3.875679920E-1,-4.428773001E-2,7.200574130E-2,-1.970040426E-2,8.680055148E-2
3.895675250E-1,-4.856378585E-2,6.772968173E-2,-1.664607786E-2,8.498731077E-2
3.915672580E-1,-4.795292020E-2,6.711881608E-2,-9.315694682E-3,8.301325313E-2
3.935670580E-1,-4.550946131E-2,6.406449527E-2,-4.428773187E-3,7.870822482E-2
3.955672910E-1,-4.978551716E-2,6.039930135E-2,1.069014193E-3,7.828036863E-2
3.975670240E-1,-4.612032697E-2,5.551237985E-2,4.123340361E-3,7.228907810E-2
3.995667570E-1,-5.039638281E-2,4.696026444E-2,4.123340361E-3,6.900770807E-2
4.015664900E-1,-4.856378585E-2,3.229949996E-2,9.621127509E-3,5.911230911E-2
4.035662230E-1,-4.734205827E-2,1.947133057E-2,7.177666761E-3,5.169063837E-2
4.055657890E-1,-3.390302137E-2,-2.519819187E-3,7.788531948E-3,3.487729313E-2
4.075655220E-1,-3.390302137E-2,-2.519819187E-3,7.788531948E-3,3.487729313E-2
4.095656550E-1,-2.779436857E-2,-1.595885493E-2,7.177666761E-3,3.284403865E-2
4.115654550E-1,-2.290744707E-2,-2.206750773E-2,3.512475174E-3,3.200099234E-2
4.135651880E-1,-1.007927675E-2,-2.756529488E-2,2.901609987E-3,2.949333216E-2
4.155649210E-1,-4.581489135E-3,-3.489567712E-2,-2.596177394E-3,3.529077020E-2
4.175646540E-1,8.246680722E-3,-3.795000166E-2,-3.817907767E-3,3.902290082E-2
4.195643870E-1,1.496619824E-2,-4.100432992E-2,-1.175915636E-2,4.520641459E-2
4.215641200E-1,2.351831272E-2,-3.672827408E-2,-1.053742506E-2,4.486774428E-2
4.235638530E-1,2.779436857E-2,-3.550654277E-2,-1.786780916E-2,4.850257836E-2
4.255636530E-1,3.512475267E-2,-3.000875562E-2,-2.580905706E-2,5.291862707E-2
4.275633860E-1,3.512475267E-2,-2.756529488E-2,-3.130684420E-2,5.453175429E-2
4.295631190E-1,2.840523422E-2,-3.428481147E-2,-3.497203439E-2,5.661580007E-2
4.315628520E-1,3.451388702E-2,-2.817615867E-2,-3.436116874E-2,5.626539106E-2
4.335625850E-1,3.145955876E-2,-3.428481147E-2,-3.924809024E-2,6.087334985E-2
4.355623180E-1,2.657263726E-2,-2.939788997E-2,-4.352414981E-2,5.886163948E-2
4.375622840E-1,1.679879427E-2,-3.428481147E-2,-4.902193695E-2,6.213532078E-2
4.395620170E-1,6.414085161E-3,-3.733913973E-2,-5.268712714E-2,6.489441587E-2
4.415618170E-1,7.024950348E-3,-3.367394581E-2,-5.146539584E-2,6.190292015E-2
4.435615500E-1,-3.970623948E-3,-3.795000166E-2,-5.879577994E-2,7.009216946E-2
4.455622160E-1,-1.802052557E-2,-3.733913973E-2,-6.307183951E-2,7.547852434E-2
4.475619490E-1,-1.740965992E-2,-3.795000166E-2,-6.123924255E-2,7.411844381E-2
4.495616820E-1,-2.412917651E-2,-4.283692688E-2,-6.551529467E-2,8.191137466E-2
4.515618150E-1,-2.474004216E-2,-4.283692688E-2,-6.551529467E-2,8.209339697E-2
4.535615480E-1,-3.023782931E-2,-4.955644161E-2,-7.101308554E-2,9.172254654E-2
4.555612810E-1,-3.573561832E-2,-5.138903856E-2,-7.040221989E-2,9.420371684E-2
4.575610810E-1,-3.268129006E-2,-5.261076987E-2,-7.162395120E-2,9.468870160E-2
4.595608140E-1,-3.512475267E-2,-5.322163552E-2,-7.528914511E-2,9.866481698E-2
4.615605470E-1,-2.962696366E-2,-4.955644161E-2,-7.712173462E-2,9.633981436E-2
4.635602800E-1,-2.901609987E-2,-4.650211707E-2,-7.712173462E-2,9.461576451E-2
4.655601800E-1,-1.679879427E-2,-3.856086731E-2,-8.323039114E-2,9.325469418E-2
4.675599130E-1,-1.374446787E-2,-3.306308016E-2,-8.078692853E-2,8.836631422E-2
4.695596460E-1,-1.130100712E-2,-3.184135258E-2,-8.200865984E-2,8.869613737E-2
4.715593790E-1,-3.359758761E-3,-2.390010282E-2,-8.323039114E-2,8.665910745E-2
4.735591790E-1,9.162978968E-4,-1.901318133E-2,-8.139779419E-2,8.359390866E-2
4.755589120E-1,7.635815535E-3,-6.795875728E-3,-8.200865984E-2,8.264326890E-2
4.775586450E-1,1.313360315E-2,-3.130684374E-3,-8.139779419E-2,8.250996070E-2
4.795583780E-1,1.924225502E-2,4.810563754E-3,-7.895433158E-2,8.140756953E-2
4.815581110E-1,1.985312067E-2,1.030835137E-2,-7.895433158E-2,8.206214098E-2
4.835578440E-1,2.840523422E-2,1.580613852E-2,-7.895433158E-2,8.538429493E-2
4.855575770E-1,3.329215571E-2,3.352123126E-2,-7.284568250E-2,8.682473171E-2
4.875573770E-1,2.901609987E-2,3.352123126E-2,-7.101308554E-2,8.371657730E-2
4.895571770E-1,3.268129006E-2,3.901901841E-2,-6.979135424E-2,8.637930102E-2
4.915569100E-1,3.145955876E-2,4.390593991E-2,-6.734789163E-2,8.633176648E-2
4.935566430E-1,3.145955876E-2,4.757113010E-2,-6.551529467E-2,8.686178729E-2
4.955563760E-1,2.718350291E-2,5.367978290E-2,-6.123924255E-2,8.585282029E-2
4.975561090E-1,2.901609987E-2,5.245805159E-2,-6.001751125E-2,8.482854994E-2
4.995558420E-1,2.412917651E-2,5.795583874E-2,-5.757404864E-2,8.518137989E-2
5.015555750E-1,2.474004216E-2,5.978843570E-2,-5.513058975E-2,8.500652126E-2
5.035553750E-1,2.046398632E-2,5.978843570E-2,-5.329799280E-2,8.266866284E-2
5.055551080E-1,2.046398632E-2,6.284276396E-2,-4.413501546E-2,7.947255695E-2
5.075548410E-1,2.046398632E-2,6.284276396E-2,-4.413501546E-2,7.947255695E-2
5.095545740E-1,1.374446787E-2,6.223189831E-2,-4.046982154E-2,7.549520528E-2
5.115539070E-1,1.130100712E-2,6.345362961E-2,-3.313944116E-2,7.247274269E-2
5.135536400E-1,8.857546374E-3,6.039930135E-2,-2.886338346E-2,6.752500749E-2
5.155533730E-1,1.527163084E-3,5.123632401E-2,-2.214386500E-2,5.583765649E-2
5.175531060E-1,-3.054326226E-4,4.940372705E-2,-1.786780916E-2,5.253646486E-2
5.195529060E-1,-7.024950348E-3,4.146247730E-2,-5.039638374E-3,4.235427848E-2
5.215526390E-1,-1.435533352E-2,3.107776865E-2,1.069014193E-3,3.424976053E-2
5.235523720E-1,-1.679879427E-2,2.619084716E-2,6.566801574E-3,3.180067368E-2
